Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_01153;Karsbach;50,05;9,78;Schlot wieder eingerissen wird und wird auf die Seitenmauer gesetzt, wo man keine Stützmauer braucht.;T;VV;
ZW--_E_01153;Karsbach;50,05;9,78;habe mir da Kleesamen gekauft, den braucht meine Frau zur Aussaat. Hat er also, Sie;T;VV;
ZW--_E_01155;Urspringen ;49,9;9,67;Der ist auch da, der braucht freilich der will schon schaffen, nicht. Ist wohl erst eineinhalb Jahre alt.;T;VV;
ZW--_E_01165;Freising;48,4;11,75;so wie bei der Maschine. Die braucht - die muß immer wieder nachgeheizt werden. Und so;T;MV ? ;Elliptischer Satz 
ZW--_E_01165;Freising;48,4;11,75;geht alles-. Nur ein Geld braucht man draußen, sonst gar nichts mehr. Das ist;T;VV;
ZW--_E_01167;Freising;48,4;11,75;Aber ich weiß ja selber, man braucht es schon, da muß ich Dir jetzt schon wieder;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01171;Pfrombach;48,44;12;jungen ja, die anderen vier Pferde braucht man ja zum Arbeiten. Zum Einspannen, nicht,;T;VV;
ZW--_E_01175;Dorfen;48,27;12,16;sein muß, nicht. Ja da braucht es alleweil so acht.;NULL;VV;
ZW--_E_01181;Bockhorn (Oberbayern) ;48,31;11,99;Wie lange braucht man da?;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01194;Traunstein ;47,87;12,64; heraus bringt, den wo man selber braucht. Aber einige kommen noch dazu, die wo die Leute;T;VV;
ZW--_E_01196;Petting;47,92;12,82;denn das für Sorten Gurken? Das braucht halt viel?;T;VV;
ZW--_E_01205;Ramsau bei Berchtesgaden;47,61;12,9;Und der Schuster braucht auch eine Arbeit.;T;VV;
ZW--_E_01205;Ramsau bei Berchtesgaden;47,61;12,9;Landwirtschaft kann keiner leben, ein jeder braucht ein bißchen einen.;T;VV;
ZW--_E_01206;Schneizlkreuth;47,68;12,8;"da braucht man verschiedenes Werkzeug: Da braucht man eine Säge; man braucht eine Hacke; man";T;VV;
ZW--_E_01206;Schneizlkreuth;47,68;12,8;"man braucht eine Hacke; man braucht einen Keil und braucht einen Subi und braucht einen Schepser";T;VV;
