Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_05703;Spenge;52,13;8,48;als wenn es heute wäre. Dann brauchten wir nicht aus der Bank kommen, sondern er stellte;NULL;
ZW--_E_05706;Spenge;52,13;8,48;die hingen an der Seite, die brauchten wir uns nicht merken. Die anderen, die sollten;NULL;
ZW--_E_05714;Hiddenhausen;52,17;8,62;dann wird die krank. Da brauchst keine Angst zu haben, sie stirbt noch nicht,;ZU;sehr undeutlich!
ZW--_E_05736;Hiddenhausen;52,17;8,62;dem Roder die Kartoffeln gerodet. Wir brauchten bloß aufzusuchen und so weiter. War auch schon wieder;ZU;
ZW--_E_05748;Löhne;52,2;8,7;war an sich ganz einfach. Man brauchte nur um die Weide so einen Ring drumherumschneiden und dann;NULL;
ZW--_E_05751;Löhne;52,2;8,7;Reitpferd dafür haben, weil, das braucht ja sowieso nicht viel machen, das kann ja für;NULL;sehr undeutlich!
ZW--_E_05751;Löhne;52,2;8,7;trotzdem vor, weil mit dem Pferd brauchen wir ja nicht mehr viel machen, und wollen doch;NULL;sehr undeutlich!
ZW--_E_05752;Löhne ;52,2;8,7;noch gesagt: Beim Nutzholz, da brauchst du uns aber nicht zu kommen, dann brauchen wir;NULL ;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_05758;Löhne;52,2;8,7;mochten wir ja so gerne, da brauchten wir keine Soße zu haben und keine Suppe und auch;ZU;
ZW--_E_05763;Löhne;52,2;8,7;war heilfroh, dass ich nicht spielen brauchte. Aber, da haben sie das Stück dann ein;NULL;
ZW--_E_05767;Löhne ;52,2;8,7;. Wir gingen vor die Bettstelle, brauchten da keine Angst zu haben, dass unsere Eltern uns;ZU;
ZW--_E_05770;Kirchlengern;52,2;8,63;dass er noch große Wege zu machen brauchte. Ja denn bin ich nachher, nach dem Kriege;ZU;
ZW--_E_05771;Kirchlengern;52,2;8,63;seine Ladenregale auch verlängern lassen, da brauchen die gar nicht darum nach Kirchlengern kommen, da,;NULL;
ZW--_E_05782;Kirchlengern;52,2;8,63;das war ja noch einigermaßen gut, brauchten wir nicht laufen. Jetzt mussten meine ganzen Klamotten,;NULL;
ZW--_E_05791;Rödinghausen;52,26;8,48;Ach, vor fünfzig Jahren, soweit brauchen wir gar nicht zurückzugreifen. Ich bin nun balde vierzig;NULL;"In Transkription steht ""zu"", aber wird nicht ausgesprochen "
ZW--_E_05815;Bünde;52,2;8,59;bin jetzt schon über sechzig, das brauche ich nicht mehr zu machen! Ich wollte die Jugend;ZU;Audiodatei stimmt nicht  mit Textbeispiel überein 
ZW--_E_05818;Bünde;52,2;8,59;gleich weg, kannst du mitfahren! Brauchst du nicht zu Fuß zu gehen! Und der saß;ZU;undeutlich 
ZW--_E_05831;Vlotho;52,17;8,85;! Ich hörte damit auf, ich brauchte ja nichts mehr dazu zu sagen. Nun, hörst;ZU;sehr undeutlich!
ZW--_E_05832;Vlotho;52,17;8,85;eine Diktatur, keine Demokratie. Da brauchte nicht so gefragt werden. Da kriegte jeder eine Karte;NULL;Audiodatei stimmt nicht mit Textbeispiel überein 
;;;;;;
;;;;;;
zusätzliche Auswertung: ;;;;;;
ZW--_E_00028;Staufen im Breisgau;47,88;7,73;acht oder neun Orten holen. Das braucht man nicht nur bei der Gotti und beim Götti holen;NULL;
ZW--_E_00042;Horben;47,94;7,86;bin froh, daß ich nimmer laufen brauche, bei Gott bis in Kappeler Höhe rauf, ins;NULL;
ZW--_E_00046;Horben;47,94;7,86;die die schweren Lastzüge, die äh brauchen nimmer gefüttert sein, nicht. Die haben die haben;NULL;
ZW--_E_00053;Hüfingen;47,93;8,49;er auf, s'ist genug, man braucht nicht strecken, ein' volle Blüt' und tragen fest,;NULL;
ZW--_E_00074;Schonach im Schwarzwald;48,14;8,2;. Die ha Montag haben sie nicht brauchen schaffen beim Meister. Aber die haben auch nicht dürfen;NULL;
ZW--_E_00076;Schonach im Schwarzwald;48,14;8,2;Esel einmal einen Schenkel ab hat, braucht er keine Angst haben, da nehmen die Buben ihr;NULL;
ZW--_E_00077;Efringen-Kirchen;47,66;7,57;, die Leute haben gar kein Ding brauchen zahlen, nichts, da haben wir ein, anno;NULL;
ZW--_E_00089;Wembach;47,77;7,88;produzieren, das haben sie einmal und brauchen nichts zu zahlen dafür. Unsere Gemeindeweide ist nicht groß;NULL;
ZW--_E_00170;Bebenhausen;48,52;9,06;jetzt wolle er sehen. Also wir brauchen keinen Zuschlag zahlen für, für zweiter Klasse und er;NULL;
ZW--_E_00188;Rosenfeld;48,29;8,72;"ich gesagt: "" PERSONENNAME, da braucht ihr euch gar nicht genieren. Wir sind auch einmal";NULL;
ZW--_E_00188_01;Rosenfeld;48,29;8,72;"heute Mittag um zwölf, also vorher braucht gar keiner kommen. "" Also gut, jetzt geht";NULL;
ZW--_E_00189;Rosenfeld;48,29;8,72;Die haben mir Geld angeboten, ich brauchte keine Zinsen zu zahlen, ich sollte ihnen nur meine;NULL;
ZW--_E_00191;Loßburg;48,41;8,45;sich das gelegt hat, und dann brauchen wir das Kind nicht hergeben. Jetzt haben die Leute;NULL;
ZW--_E_00210;Calw;48,71;8,74;"sehen. Wenn der den sieht, braucht er bloß schreien: "" Johann! """;NULL;
ZW--_E_00214;Heimsheim;48,81;8,86;kein Säsack mehr auf die Achsel nehmen braucht. ( Danach) fährt man mit der S-;NULL;
ZW--_E_00278;Emerkingen;48,21;9,66;die wächst jetzt ja so, da braucht man nichts mehr machen.;NULL;
ZW--_E_00328;Isny im Allgäu;47,69;10,04;ganz gut ist, ( danach) braucht man ja nicht heinzen am Morgen, ( danach);NULL;
ZW--_E_00387;Missen-Wilhams;47,6;10,12;Aber jetzt brauchen Sie nicht nach der Schrift schwätzen, ich verstehe Sie;NULL;
ZW--_E_00452;St. Blasieren ;47,76;8,13;der ganzen Welt verbreitet ist. Ich brauche nur an diese Zeit zurückdenken, danach habe ich einen;NULL;
ZW--_E_00459;Görwihl;47,64;8,08;könnte sein Getränk selber machen, er brauchte keinen Wein haben, -;NULL;
ZW--_E_00464;Wehr;47,63;7,9;zehn, zwölf Stunden schaffen, sie brauchen nur acht Stunden zu? schaffen, und der Tag;NULL;
ZW--_E_00485;Hilzingen;47,77;8,78;da hat man fast gar nicht mähen brauchen. Aber dieses Jahr ist ein schönes Öhmd, da;NULL;
ZW--_E_00514;Nordrach;48,4;8,08;Rohmaterial und alles. Also Sie mu brauchen sich keine Sorgen machen, wenn was kommt, dann;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_00514_01;Nordrach;48,4;8,08;gehabt, dem haben wir's gar nicht brauchen sagen, das hat er ungeheißen gemacht alle Jahre.;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_00517;Nordrach;48,4;8,08;sie's besser gehabt, da hat sie brauchen nicht viel Stiegen laufen, die hat dürfen nur eben;NULL;
ZW--_E_00522;Kehl;48,57;7,81;wo der Tabak wachsen tut. Wir brauchen denen das gar nicht zu sagen, den Preis haben;ZU;
ZW--_E_00523;Kehl;48,57;7,81;und haben laufend ihr Wasser, und brauchen sich um nichts mehr kümmern. Und wenn sie den;NULL;
ZW--_E_00532;Rheinau Baden) ;48,67;7,93;Wie ich nix bezahlen habe brauchen, da habe ich getroffen, wenn ich bezahlt habe;NULL;
ZW--_E_00546;Sasbackwalden;48,62;8,13;das die letzte Mahnung ist, dann brauchen sie nimmer zahlen. . .;NULL;
ZW--_E_00553;Offenburg;48,74;7,94;hat man die Traubenmühle, oder man braucht's gar nicht mehr mahlen, die Winzergenossenschaft nimmt die Trauben;NULL;
ZW--_E_00564_01;Sinzheim;48,76;8,17;ich brauche keine Pappel verpfählen, ich brauche keine schützen gegen Wildverbiß, oder gegen Fegeschäden, n;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_00574;Au am Rhein ;48,95;8,24;bin ich geputzt und gewickelt, ich brauch nicht nachts aufstehen, wie wir, um zwei,;NULL;
ZW--_E_00576_01;Au am Rhein ;48,95;8,24;Ja, Lumpen. Oh, mir brauchst nichts sagen, ich kenne euch Vetterle. . Ich;NULL;
ZW--_E_00589;Keltern (Baden) ;48,89;8,6;unterwegs liegen, doch dazuzuleiten. Was brauchen wir das Wasser von unten heraufpumpen und wir sind doch;NULL;
ZW--_E_00602;Karlsdorf-Neuthard;49,14;8,54;läufst darin herum in Deinem Geschäft und brauchst nicht so viel zu schaffen, wie wir schaffen müssen;ZU;
ZW--_E_00605;Dettenheim ;49,16;8,42;was so einer eingenommen hat, das braucht auch niemand zu wissen, das behalten wir für.;ZU;
ZW--_E_00612;Zaisenhausen;49,11;8,82;daß die Krankheit da ist, dann braucht man nicht mehr springen, so wie es zum Beispiel;NULL;
ZW--_E_00616;Kronau;49,22;8,63;"dazu; die haben mir nicht vorhängen brauchen, ich bin allein heraus mit meinem. Dann ist";NULL;
ZW--_E_00626;Nußloch;49,32;8,69;"gesagt: "" Ich liege schon, braucht nicht mehr rennen, ich liege schon. Ihr Hunde";NULL;
ZW--_E_00630;Ladenburg;49,47;8,61;"hat jedes Jahr seine Leute. Der braucht gar nicht rum zu rennen und zu fragen: """;ZU;
ZW--_E_00639;Hemsbach;49,59;8,66;es ist ein Fortschritt da. Es braucht kein Bauer mehr zu bangen, daß ihm die letzte;ZU;
ZW--_E_00641;Neuried;48,47;7,8;und Mistlache am besten fahren. Da braucht man nicht abladen, die gehen allein runter, .;NULL;
ZW--_E_00641;Neuried;48,47;7,8;ist ein schönes, man hat nichts brauchen denken, man ist alles geheißen;NULL;
ZW--_E_00711;Amstetten;48,58;9,87;ist er zu- Oh, das bräuchte ich aber auch nicht erzählen, ist( es);NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_00724;Untergruppenbach;49,08;9,27;"haben wir antreten müssen: "" Ihr braucht keinen Gehorsam mehr leisten, kr- kann jeder heim";NULL;
ZW--_E_00749;Schwieberdingen;48,88;9,08;Winter, nicht, ( danach) brauchen wir nicht so bald aufstehen. Jetzt, bei denen;NULL;
ZW--_E_00773;Wiernsheim;48,89;8,85;"ich gesagt: "" Ja, er braucht uns nicht annehmen, wir wissen den Weg wieder retour";NULL;
ZW--_E_00799;Vellberg;49,08;9,88;, keine Heldentaten habe ich nicht verüben brauchen. Ich war, ich war bloß auf Etappendienst,;NULL;
ZW--_E_00823;Fichtenau;49,07;10,21;Zeit äh, hat man noch nicht brauchen groß schüren bei uns, es ist warm, stark;NULL;
ZW--_E_00823;Fichtenau;49,07;10,21;"mehr gehen. - Ja, ja brauch ich auch nicht mehr heim gehen; gelt, meine";NULL;
ZW--_E_00833;Wallhausen;49,21;10,06;man sich um gar nichts mehr kümmern brauchen, bloß nur die Säcke wegführen. Und früher hat;NULL;
ZW--_E_00833;Wallhausen;49,21;10,06;für Holz, weil sie kein Holz brauchen kaufen, nicht, und früher war auch mehr Holz;NULL;
ZW--_E_00836;Creglingen;49,47;10,03;noch zu ein bisschen ausflicken. Mehr brauchen wir nicht mehr schaffen. Heutzutage geht das Handwerk immer;NULL;
ZW--_E_00836;Creglingen;49,47;10,03;sozusagen ist da drüber weg, der braucht gar nichts mehr machen jetzt( danach) später,;NULL;
ZW--_E_00855;Füssen;47,57;10,7; hab ich. . . Ich brauche keine Kohle kaufen. Ich, ich führ- ich;NULL;
ZW--_E_00868;Ottobeuren;47,94;10,3;Zeiten den über sich ergehen lassen und braucht da garnicht groß ängstlich sein, daß vielleicht wir mit;NULL;
ZW--_E_00874;Pfaffenhausen;48,12;10,45;eigentlich doch äh wenige Fremden Fremde herkommen brauchten mit ihren.;NULL;
ZW--_E_00879;Wiedergeltingen;48,02;10,67;das ist kein Mord nicht, da braucht Ihr keine Angst nicht haben. Die das ist schon;NULL;
ZW--_E_00880;Wiedergeltingen;48,02;10,67;gesagt zu ihr, ja, also brauchst nichts trinken, bin sparsam, übertue nichts, ja;NULL;
ZW--_E_00883;Buchloe;48,04;10,72;Böden braucht man überhaupt hat man heuer brauchen gar nichts tun, aber in den trocknen Böden,;NULL;
ZW--_E_00903;Starnberg;48;11,34;letzten Jahre haben wir keine mehr hinausfahren brauchen, weil nichts mehr gewachsen ist vor lauter Regen.;NULL;
ZW--_E_00927;Bichl;47,72;11,41;am Berg, drei Meter, mehr braucht man sich nicht einkalkulieren, kann er's machen, wie;NULL;
ZW--_E_00927;Bichl;47,72;11,41;unten, nicht, wahr, da brauchen sie da keine Auslösung nicht zahlen und garnichts, nicht;NULL;
ZW--_E_00958;Irschenberg;47,83;11,92;Mann angestellt mit Auto und äh dann braucht man bloß telefonieren oder dem Milchfahrer einen Zettel mitgeben,;NULL;
ZW--_E_00969;Frasdorf;47,8;12,28;Ja, ja, aber da draußen brauchen sie ja keine Mäuse zu fangen, weil da dürfen;NULL;
ZW--_E_00971;Bruckmühl;47,88;11,92;allen Dingen Leonhardiritt, gelt. Da brauchen wir gar nicht weit gehen. Von da- von;NULL;
ZW--_E_00971;Bruckmühl;47,88;11,92;daß wir gar nicht so weit gehen brauchen, unser Kreisheimatpfleger, der weiß da gerade so gut;NULL;
ZW--_E_00972;Bruckmühl;47,88;11,92;Klar, die kommen- die brauchen bloß per Telephon den Stier bestellen, auf Deutsch gesagt;NULL;
ZW--_E_00989;Moringen;51,7;9,87;Kartoftteln haben wir ja genug, wir brauchen uns keine mehr besorgen, wenn wir;NULL;
ZW--_E_01007;Neu-Eichenberg;51,38;9,88;, wenn ich mir Kredit aufnehme, brauche ich doch keine Einkommensteuer zu bezahlen, kann ich doch;ZU;
ZW--_E_01007;Neu-Eichenberg;51,38;9,88;So, Dann brauchen wir keine Einkommensteuer zu bezahlen, wenn;ZU;
ZW--_E_01016;Braunschweig;52,27;10,52;ne sehr gute Sache dabei. Man braucht nicht so hoch zu schmeißen, und vor allen Dingen;ZU;
ZW--_E_01032;Osterode am Hartz;51,73;10,25;Wo kann ich mich hinlegen und braucht nicht aufzustehn. Und wo kann ich morgen das Essen;ZU;sehr undeutlich
ZW--_E_01071;Kassel;51,32;9,5;"es war immer so schön. Da brauchte man nicht hinunterzugehen; es konnte wahrhaftig einer dem ";ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01073;Melsungen;51,13;9,55;weißt ja, wie das ist! Brauchst nichts zu sagen, das ist so. Das ist;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01100;Aschaffenburg;49,98;9,15;da hast Du zwei Mark, aber brauchst nichts der Mutter zu sagen. Na ja, ich;ZU;
ZW--_E_01100;Aschaffenburg;49,98;9,15;zwei Mark und dann sagt sie: brauchst aber nichts dem Vater zu sagen. Hatte ich vier;ZU;
ZW--_E_01126;Rothenbuch;49,97;9,4;auf die Berge eher fahren, da brauchen wir keinen so weiten Umweg mehr zu machen, wie;ZU;
ZW--_E_01127;Rothenbuch;49,97;9,4;geht und reinigt den Abort, der braucht heute keine Schulaufgabe zu machen. Da habe ich gedacht;ZU;
ZW--_E_01127;Rothenbuch;49,97;9,4;kann ich heute mittag Ski fahren, brauche keine Hausaufgabe machen, habe ich Zeit heute Mittag.;ZU;
ZW--_E_01136;Frammersbach;50,07;9,47;den ich drüber genommen habe, den brauche ich ja wohl nicht näher zu erläutern, denn das;ZU;
ZW--_E_01138;Mittelsinn;50,2;9,62;Wird gelüftet richtig. Und im Winter braucht es gar nicht so warm sein im Stall. Es;ZU;
ZW--_E_01167;Freising;48,4;11,75;Ja, hab ich gesagt, da brauchst dich nicht zu kümmern, das wäre ja gleich.;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01192;Traunstein;47,87;12,64;kommt ein Dirndl immer sauber daher und braucht nicht fürchten, daß sie einmal ein Gewand anhat,;NULL;
ZW--_E_01201;Ramsau bei Berchtesgaden;47,61;12,9;Ach heute brauche ich nicht mehr zu kochen. Heute kocht meine Tochter;NULL;
ZW--_E_01205;Ramsau bei Berchtesgaden;47,61;12,9;Du vorm Tod nicht sicher, so brauche ich mich gar nicht anstrengen, auf die Seite komme;NULL;
ZW--_E_01207;Schneizlreuth;47,68;12,8;man hat sich nicht so plagen brauchen im Wald- aber das haben wir im Winter gemacht;NULL;
ZW--_E_01229;Haimhausen;48,32;11,57;Gruppe, die wo nicht kochen hat brauchen, die hat Vormittag immer Handarbeit gehabt. Und dann;NULL;
ZW--_E_01243;Altmannstein;48,9;11,65;das macht der Vater. Das brauche ich nicht zu machen. Da hilft er mir.;NULL;
ZW--_E_01251;Dietfurt;49,03;11,58;aufpassen muß, daß man nicht draufzahlen braucht. Draufgezahlt habe ich noch nicht, .;NULL;
ZW--_E_01280;Nabburg;49,45;12,18;einkaufen, alles selber machen. Da braucht sich der Onkel gar nicht mehr kümmern drum, der;NULL;
ZW--_E_01280;Nabburg;49,45;12,18;werden die Runkeln halt gesät, dann braucht man das nicht mehr zu fürchten, daß es zu;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01291;Kirchendemenreuth;49,78;12,1;dann habe ich eine Milch, viel brauche ich sie nicht einspannen, nä, bloß hie und;NULL;
ZW--_E_01334;Ering;48,3;13,15;nicht gespart mit der Zeit, da brauchen Sie keine Angst darum zu haben;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01394;Wegscheid;48,6;13,79;damit wir uns im Winter nicht frieren brauchen. Und dann kommt das. Und wenn wir da;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01455;Obertraubling;48,97;12,17;Du hast es schön, du brauchst ja nichts mehr machen, nicht. Aber dann,;NULL;
ZW--_E_01457;Obertraubling;48,97;12,17;ich mich jetzt wenigstens nicht mehr kümmern brauche, um keines, nicht, weil ein jedes versorgt;NULL;
ZW--_E_01464;Wackersdorf;49,32;12,18;für die jetzigen Leute unten, die brauchen sich da nicht mehr so zu schinden und zu plagen;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01475;Brennberg;49,07;12,4;brauchen Sie bloß draufzustellen und da, und da ritzen Sie;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01489;Langenbach (Oberbayern);48,43;11,85;zufällig nicht. Ich habe keinen umbauen brauchen, nichts, auch keinen Klee nicht. Der.;NULL;
ZW--_E_01526;Lam;49,2;13,05;Ja, ist ziemlich nahe dran, brauchen nicht weit zu fahren, da sind wir in Wedding;ZU;
ZW--_E_01529;Neukirchen beim Heiligen Blut;49,26;12,97;""" Äh, die Mädchen, die brauchen nichts lernen, die brauchen nichts können, die sollen";NULL;
ZW--_E_01529;Neukirchen beim Heiligen Blut;49,26;12,97;"ie brauchen nichts lernen, die brauchen nichts können, die sollen daheim bleiben!"" Aber jetzund";NULL;
ZW--_E_01532;Neukirchen beim Heiligen Blut;49,26;12,97;draußen zugeht, ich glaube, da brauche ich Ihnen nicht viel erzählen! Schön einerseits, weil;NULL;
ZW--_E_01549;Schwarzach;48,92;12,82;auf keinen Bauern nicht so aufpassen hat brauchen. Denn der Bauer, wenn er gesehen hat,;NULL;
ZW--_E_01549;Schwarzach;48,92;12,82;wenn er sich nicht viel kümmern hat brauchen. Und wenn der gesehen hat, daß der Laden;NULL;
ZW--_E_01582;Ofterschwang;47,5;10,24;Ja, ja, da braucht man kein Fressen sorgen, weißt.;NULL;
ZW--_E_01595;Neustadt an der Weinstraße;49,35;8,15;weiter, daß man sich nicht schämen braucht. Na ja, und da hat man sich halt;NULL;
ZW--_E_01595;Neustadt an der Weinstraße;49,35;8,15;"bist, nicht wahr?"" Und da braucht man doch nichts zu machen. Nein. Es ist";ZU;
ZW--_E_01605;Niederhorbach;49,12;8,03;wäre man an einer Stelle. Man brauchte nicht dauernd aus- und anzuspannen und anzufangen und aufzuhören;ZU;
ZW--_E_01609;Niederhorbach;49,12;8,03;ganze Wochen und sonntags und der Emil braucht keine Hand anzurühren, das koche ich alles. Heute;ZU;
ZW--_E_01609;Niederhorbach;49,12;8,03;sie in die Milchzentrale tragen. Da braucht man keinen Korb mehr auf den Kopf zu nehme und;ZU;
ZW--_E_01622;Jockgrim;49,1;8,28;daß ich als daheim nichts zu schaffen brauche. Aber um vier muß ich heim. Da liegt;ZU;
ZW--_E_01622;Jockgrim;49,1;8,28;Ostern ist ein schöner Tag. Da brauche ich nichts zu schaffen, und ist der Ostermontag.;ZU;
ZW--_E_01633;Gommersheim;49,29;8,27;ich werde Ihnen das nicht dazu sagen brauchen. Der ist Weinbaudirektor in Trier und Reblauskommissar von Rheinland;ZU;
ZW--_E_01645;Kleinniedesheim;49,59;8,32;macht es nur fertig, Wein braucht ihr dann keinen mehr heimzuholen. Und so war es;ZU;
ZW--_E_01645;Kleinniedesheim;49,59;8,32;da hat man nicht zu spritzen brauchen. Da war das noch nicht da, nicht.;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01650;Brockenheim an der Weinstraße;49,6;8,18;nicht- weil man ein bißchen Stroh braucht für Fischel festzumachen. Na und da bin ich dann;NULL;in Transkription steht  'zu', aber wird nicht ausgesprochen 
ZW--_E_01650;Brockenheim an der Weinstraße;49,6;8,18;daß man sich nicht so zu bücken braucht und schön unten die Stöcke heraus hacken kann und heraus;ZU;
ZW--_E_01658;Winnweiler;49,57;7,85;anfangen zu mähen. Das hat man brauchen nicht zu wenden, hat man können gleich zusammenziehen mit;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01669;Obermoschel;49,73;7,77;das heiße Wasser, gelt. Da brauchst bloß aufzudrehen, schon ist es.;ZU;
ZW--_E_01683;Kreimbach-Kaulbach;49,55;7,63;Ich mal vor allen Dingen, ich brauch die Post nicht mehr soweit zu tragen- für das;ZU;
ZW--_E_01683;Kreimbach-Kaulbach;49,55;7,63;über die Straße hinübertragen, oder ich brauche bloß zu rufen, Otto komm mal herüber, da;ZU;
ZW--_E_01690;Rammelsbach;49,54;7,44;ist auch eine große Erleichterung. Man brauch nicht mehr zu hacken, geschafft( gearbeitet) muß;ZU;
ZW--_E_01694;Nanzdietschweiler;49,44;7,44;das war die Kirmes. Aber ihr braucht nicht erst auf die Kirmes zu warten, bis es;ZU;
ZW--_E_01697;Nanzdietschweiler;49,44;7,44;da wo sie. . .Brauchen wir gar nicht da hinüberzufahren, nicht, holen sie;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01749;Merzig;49,45;6,63;mal neunzehnhundert Meter hoch sind, dann brauchten wir wenigstens nicht hoch zu krabbeln, damit man auf;ZU;
ZW--_E_01754;Mettlach;49,49;6,6;und wenn jemand wird sagen, jetzt brauchst du nicht mehr in die Wiese zu gehen und brauchst;ZU;
ZW--_E_01754;Mettlach;49,49;6,6;mehr in die Wiese zu gehen und brauchst auch nichts helfen zu schaffen. Aber heute, heute;ZU;
ZW--_E_01755;Mettlach;49,49;6,6;das wäre Ausweis genug, er bräuchte noch zu fragen, wo unser Ausweis wäre. Nun;ZU;
ZW--_E_01755;Mettlach;49,49;6,6;zufrieden sein mit uns. Zu essen brauchten sie uns nichts zu geben, mein Bruder hatte so;ZU;
ZW--_E_01776;Trier;49,76;6,64;Tour in den Ruß. Und dann brauchte man sonst nichts zu sagen, wenn die Jungen heimkamen;ZU;
ZW--_E_01776;Trier;49,76;6,64;Kaiserhof droben. Oder früher, nur brauchst du zu denken an Königtag, an den Prümmermarkt nicht;ZU;
ZW--_E_01783;Merzkirchen;49,58;6,48;Äh, meinen Namen brauch ich ja nicht zu nennen- nein, nicht,;ZU;
ZW--_E_01784;Merzkirchen;49,58;6,48;Pferch in dem Pferch laufen lassen, braucht man sich nicht um sie kümmern. Ein Traktor und;ZU;
ZW--_E_01847;Ediger-Eller;50,1;7,15;sonst äh habe ich äh wahrlich nichts brauchen zu schaffen. nicht, bei den kindern nun gott;ZU;
ZW--_E_01858;Blankeinheim (Ahr) ;50,43;6,65;sich. . . und im winter brauchen die ja nicht zu arbeiten. da wurden die gut;ZU;
ZW--_E_01861;Hallschlag;50,35;6,44;so eine etliche stück vieh nicht. Brauche ich ja nicht gerade zu sagen wieviel- 10 stück;ZU;
ZW--_E_01866;Hallschlag;50,35;6,44;Wo die Leute sich nicht so teuerlich brauchten zu plagen, wie es bisher war. Und für;ZU;
ZW--_E_01866;Hallschlag;50,35;6,44;Daß sie nicht in die Stadt brauchten zu gehen, wo es ja heute überall auch der;ZU;
ZW--_E_01885;Krautscheid;50,06;6,33;ist welche auf den Filialen, da brauche ich nicht mit hinzugehen. Dann, wenn ich die;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01885;Krautscheid;50,06;6,33;Und äh, den Chorleiter, den brauche ich nicht zu machen. Wir haben hier den Dirigenten;ZU;
ZW--_E_01887;Krautscheid;50,06;6,33;die kann Dir das machen, da brauchst Du Dich nicht allein hinzusetzen, das kann die schreiben;ZU;
ZW--_E_01889;Kyllburgweiler;50,05;6,62;Und dann kann man im Sommer dann braucht man im Sommer nur mit Stickstoff nachzuhalten, und dann;ZU;
ZW--_E_01894;Mettendorf;49,95;6,33;alt werden, ich hätte sie nicht brauchen zu änderen. Ja, ja! Nachher bin ich;ZU;
ZW--_E_01900;Sülm;49,92;6,57;größer, je besser. Wir Bauernfrauen brauchten nicht so sehr arbeiten, wie die Frauen hier in;NULL;
ZW--_E_01900;Sülm;49,92;6,57;Teufel überlisten, daß du dem nicht brauchst in dem sein hingehen. Und wie das nun gegen;NULL;
ZW--_E_01904;Sülm;49,92;6,57;er denn acht schöne Tage und er brauchte überhaupt nicht mit in die Kartoffeln zu gehen. Und;ZU;undeutlich
ZW--_E_01907;Ralingen;49,81;6,52;Das sind wirklich Leute, die nicht brauchen viel zu schaffen. Sie selber nicht, sondern das;ZU;
ZW--_E_01936;Ochsenfurt;49,67;10,05;jetzt auch mit dem Rübenkraut, da braucht man es nicht mehr so hineinzugeben, das war immer;ZU;
ZW--_E_01958;Rauhenebrach;49,88;10,62;dann zweieinhalb Jahre in Gefangenschaft- ich brauche ja nicht nach der Schrift plaudern, nicht- ich;NULL;
ZW--_E_01968;Königsberg in Bayern ;50,08;10,57;haben wir wieder Ruhe eine Weile. Brauchen wir nichts mehr zu.;ZU;
ZW--_E_01968;Königsberg in Bayern ;50,08;10,57;Mitnehmen tun sie mich schon, ich brauche es ja bloß zu sagen, .;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_01986;Stegaurach;49,87;10,78;Wenn man Erfolg haben will, man braucht es nicht machen, aber dann hat man den Ertrag;NULL;
ZW--_E_01991;Rattelsdorf;50,02;10,89;müßte sich ins Bett legen und brauchte nichts mehr tun, braucht man auch auf keinen Markt;NULL;
ZW--_E_01991;Rattelsdorf;50,02;10,89;legen und brauchte nichts mehr tun, braucht man auch auf keinen Markt mehr gehen, braucht zu;NULL;
ZW--_E_01991;Rattelsdorf;50,02;10,89;auch auf keinen Markt mehr gehen, braucht zu keinem Bauern mehr gehen und braucht überhaupt keinen;NULL;
ZW--_E_01991;Rattelsdorf;50,02;10,89;braucht zu keinem Bauern mehr gehen und braucht überhaupt keinen Handel und keinen Handel mehr treiben. Na;NULL;
ZW--_E_02002;Geroda;50,28;9,9;ich ihnen auch schon gekauft. Dann braucht nie mehr Weihnachten zu werden, haben sie gemeint.;ZU;
ZW--_E_02008;Wildflecken;50,37;9,92;"es besser als in Krojansk, da brauchst du nicht für die Zinsen arbeiten."" Und eines guten";NULL;
ZW--_E_02012;Ober Elsbach;50,44;10,12;Autos da mit dem Steinbruch. Da braucht kein Mensch mehr zu laufen. Sonst da sitzen die;ZU;
ZW--_E_02014;Hendungen;50,4;10,35;gut. Auf Auswärtige auf der Kirchweih brauchen wir da nicht viel zu rechnen, weil da in;ZU;
ZW--_E_02018;Hendungen;50,4;10,35;ja, noch schöner, die brauchen auch noch mit dem Feuer zu spotten, die sollen;ZU;
ZW--_E_02025;Neuses;49,4;10,88;oder einen anderen, hm, da brauche ich mich doch erst halb so zu plagen oder überhaupt;ZU;
